"category","count","indicator","year","geoLevel"
"E12000002",2,"employment_rate","2012","parentcd"
"E12000003",1,"employment_rate","2012","parentcd"
"E12000004",4,"employment_rate","2012","parentcd"
"E12000005",3,"employment_rate","2012","parentcd"
"E12000006",5,"employment_rate","2012","parentcd"
"E12000007",1,"employment_rate","2012","parentcd"
"E12000008",11,"employment_rate","2012","parentcd"
"E12000009",4,"employment_rate","2012","parentcd"
"K02000001",1,"employment_rate","2012","parentcd"
"N92000002",11,"employment_rate","2012","parentcd"
"S92000003",3,"employment_rate","2012","parentcd"
"E12000002",2,"employment_rate","2013","parentcd"
"E12000003",1,"employment_rate","2013","parentcd"
"E12000004",4,"employment_rate","2013","parentcd"
"E12000005",3,"employment_rate","2013","parentcd"
"E12000006",5,"employment_rate","2013","parentcd"
"E12000007",1,"employment_rate","2013","parentcd"
"E12000008",11,"employment_rate","2013","parentcd"
"E12000009",4,"employment_rate","2013","parentcd"
"K02000001",1,"employment_rate","2013","parentcd"
"N92000002",11,"employment_rate","2013","parentcd"
"S92000003",3,"employment_rate","2013","parentcd"
"E12000002",2,"employment_rate","2014","parentcd"
"E12000003",1,"employment_rate","2014","parentcd"
"E12000004",4,"employment_rate","2014","parentcd"
"E12000005",3,"employment_rate","2014","parentcd"
"E12000006",5,"employment_rate","2014","parentcd"
"E12000007",1,"employment_rate","2014","parentcd"
"E12000008",11,"employment_rate","2014","parentcd"
"E12000009",4,"employment_rate","2014","parentcd"
"K02000001",1,"employment_rate","2014","parentcd"
"N92000002",11,"employment_rate","2014","parentcd"
"S92000003",3,"employment_rate","2014","parentcd"
"E12000002",2,"employment_rate","2015","parentcd"
"E12000003",1,"employment_rate","2015","parentcd"
"E12000004",4,"employment_rate","2015","parentcd"
"E12000005",3,"employment_rate","2015","parentcd"
"E12000006",5,"employment_rate","2015","parentcd"
"E12000008",11,"employment_rate","2015","parentcd"
"E12000009",4,"employment_rate","2015","parentcd"
"K02000001",1,"employment_rate","2015","parentcd"
"N92000002",11,"employment_rate","2015","parentcd"
"S92000003",3,"employment_rate","2015","parentcd"
"E12000002",2,"employment_rate","2016","parentcd"
"E12000003",1,"employment_rate","2016","parentcd"
"E12000004",4,"employment_rate","2016","parentcd"
"E12000005",3,"employment_rate","2016","parentcd"
"E12000006",5,"employment_rate","2016","parentcd"
"E12000008",11,"employment_rate","2016","parentcd"
"E12000009",4,"employment_rate","2016","parentcd"
"K02000001",1,"employment_rate","2016","parentcd"
"N92000002",11,"employment_rate","2016","parentcd"
"S92000003",3,"employment_rate","2016","parentcd"
"E12000002",2,"employment_rate","2017","parentcd"
"E12000003",1,"employment_rate","2017","parentcd"
"E12000004",4,"employment_rate","2017","parentcd"
"E12000005",3,"employment_rate","2017","parentcd"
"E12000006",5,"employment_rate","2017","parentcd"
"E12000008",11,"employment_rate","2017","parentcd"
"E12000009",4,"employment_rate","2017","parentcd"
"K02000001",1,"employment_rate","2017","parentcd"
"N92000002",11,"employment_rate","2017","parentcd"
"S92000003",3,"employment_rate","2017","parentcd"
"E12000002",2,"employment_rate","2018","parentcd"
"E12000003",1,"employment_rate","2018","parentcd"
"E12000004",4,"employment_rate","2018","parentcd"
"E12000005",3,"employment_rate","2018","parentcd"
"E12000006",5,"employment_rate","2018","parentcd"
"E12000008",11,"employment_rate","2018","parentcd"
"E12000009",4,"employment_rate","2018","parentcd"
"K02000001",1,"employment_rate","2018","parentcd"
"N92000002",11,"employment_rate","2018","parentcd"
"S92000003",3,"employment_rate","2018","parentcd"
"E12000002",2,"employment_rate","2019","parentcd"
"E12000003",1,"employment_rate","2019","parentcd"
"E12000004",4,"employment_rate","2019","parentcd"
"E12000005",3,"employment_rate","2019","parentcd"
"E12000006",5,"employment_rate","2019","parentcd"
"E12000008",11,"employment_rate","2019","parentcd"
"E12000009",4,"employment_rate","2019","parentcd"
"K02000001",1,"employment_rate","2019","parentcd"
"N92000002",11,"employment_rate","2019","parentcd"
"S92000003",3,"employment_rate","2019","parentcd"
"E12000002",2,"employment_rate","2020","parentcd"
"E12000003",1,"employment_rate","2020","parentcd"
"E12000004",4,"employment_rate","2020","parentcd"
"E12000005",3,"employment_rate","2020","parentcd"
"E12000006",5,"employment_rate","2020","parentcd"
"E12000008",11,"employment_rate","2020","parentcd"
"E12000009",4,"employment_rate","2020","parentcd"
"K02000001",1,"employment_rate","2020","parentcd"
"N92000002",11,"employment_rate","2020","parentcd"
"S92000003",3,"employment_rate","2020","parentcd"
"E12000002",2,"employment_rate","2021","parentcd"
"E12000003",1,"employment_rate","2021","parentcd"
"E12000004",4,"employment_rate","2021","parentcd"
"E12000005",3,"employment_rate","2021","parentcd"
"E12000006",5,"employment_rate","2021","parentcd"
"E12000008",11,"employment_rate","2021","parentcd"
"E12000009",4,"employment_rate","2021","parentcd"
"K02000001",1,"employment_rate","2021","parentcd"
"N92000002",11,"employment_rate","2021","parentcd"
"S92000003",3,"employment_rate","2021","parentcd"
"E12000002",2,"employment_rate","2022","parentcd"
"E12000003",1,"employment_rate","2022","parentcd"
"E12000004",4,"employment_rate","2022","parentcd"
"E12000005",3,"employment_rate","2022","parentcd"
"E12000006",5,"employment_rate","2022","parentcd"
"E12000008",11,"employment_rate","2022","parentcd"
"E12000009",4,"employment_rate","2022","parentcd"
"K02000001",1,"employment_rate","2022","parentcd"
"N92000002",11,"employment_rate","2022","parentcd"
"S92000003",3,"employment_rate","2022","parentcd"
"Y",1,"employment_rate","2012","country"
"Y",1,"employment_rate","2013","country"
"Y",1,"employment_rate","2014","country"
"Y",1,"employment_rate","2015","country"
"Y",1,"employment_rate","2016","country"
"Y",1,"employment_rate","2017","country"
"Y",1,"employment_rate","2018","country"
"Y",1,"employment_rate","2019","country"
"Y",1,"employment_rate","2020","country"
"Y",1,"employment_rate","2021","country"
"Y",1,"employment_rate","2022","country"
"Y",21,"employment_rate","2012","localauthority"
"Y",21,"employment_rate","2013","localauthority"
"Y",21,"employment_rate","2014","localauthority"
"Y",20,"employment_rate","2015","localauthority"
"Y",20,"employment_rate","2016","localauthority"
"Y",20,"employment_rate","2017","localauthority"
"Y",20,"employment_rate","2018","localauthority"
"Y",20,"employment_rate","2019","localauthority"
"Y",20,"employment_rate","2020","localauthority"
"Y",20,"employment_rate","2021","localauthority"
"Y",20,"employment_rate","2022","localauthority"
"E92000001",31,"employment_rate","2012","countrycd"
"N92000002",11,"employment_rate","2012","countrycd"
"S92000003",3,"employment_rate","2012","countrycd"
"E92000001",31,"employment_rate","2013","countrycd"
"N92000002",11,"employment_rate","2013","countrycd"
"S92000003",3,"employment_rate","2013","countrycd"
"E92000001",31,"employment_rate","2014","countrycd"
"N92000002",11,"employment_rate","2014","countrycd"
"S92000003",3,"employment_rate","2014","countrycd"
"E92000001",30,"employment_rate","2015","countrycd"
"N92000002",11,"employment_rate","2015","countrycd"
"S92000003",3,"employment_rate","2015","countrycd"
"E92000001",30,"employment_rate","2016","countrycd"
"N92000002",11,"employment_rate","2016","countrycd"
"S92000003",3,"employment_rate","2016","countrycd"
"E92000001",30,"employment_rate","2017","countrycd"
"N92000002",11,"employment_rate","2017","countrycd"
"S92000003",3,"employment_rate","2017","countrycd"
"E92000001",30,"employment_rate","2018","countrycd"
"N92000002",11,"employment_rate","2018","countrycd"
"S92000003",3,"employment_rate","2018","countrycd"
"E92000001",30,"employment_rate","2019","countrycd"
"N92000002",11,"employment_rate","2019","countrycd"
"S92000003",3,"employment_rate","2019","countrycd"
"E92000001",30,"employment_rate","2020","countrycd"
"N92000002",11,"employment_rate","2020","countrycd"
"S92000003",3,"employment_rate","2020","countrycd"
"E92000001",30,"employment_rate","2021","countrycd"
"N92000002",11,"employment_rate","2021","countrycd"
"S92000003",3,"employment_rate","2021","countrycd"
"E92000001",30,"employment_rate","2022","countrycd"
"N92000002",11,"employment_rate","2022","countrycd"
"S92000003",3,"employment_rate","2022","countrycd"
"E12000004",2,"female_life_expectancy","2003","parentcd"
"E12000007",1,"female_life_expectancy","2003","parentcd"
"E12000008",1,"female_life_expectancy","2003","parentcd"
"E12000009",1,"female_life_expectancy","2003","parentcd"
"S92000003",2,"female_life_expectancy","2003","parentcd"
"E12000004",2,"female_life_expectancy","2004","parentcd"
"E12000007",1,"female_life_expectancy","2004","parentcd"
"E12000008",1,"female_life_expectancy","2004","parentcd"
"E12000009",1,"female_life_expectancy","2004","parentcd"
"S92000003",2,"female_life_expectancy","2004","parentcd"
"E12000004",2,"female_life_expectancy","2005","parentcd"
"E12000007",1,"female_life_expectancy","2005","parentcd"
"E12000008",1,"female_life_expectancy","2005","parentcd"
"E12000009",1,"female_life_expectancy","2005","parentcd"
"S92000003",2,"female_life_expectancy","2005","parentcd"
"E12000004",2,"female_life_expectancy","2006","parentcd"
"E12000007",1,"female_life_expectancy","2006","parentcd"
"E12000008",1,"female_life_expectancy","2006","parentcd"
"E12000009",1,"female_life_expectancy","2006","parentcd"
"S92000003",2,"female_life_expectancy","2006","parentcd"
"E12000004",2,"female_life_expectancy","2007","parentcd"
"E12000007",1,"female_life_expectancy","2007","parentcd"
"E12000008",1,"female_life_expectancy","2007","parentcd"
"E12000009",1,"female_life_expectancy","2007","parentcd"
"S92000003",2,"female_life_expectancy","2007","parentcd"
"E12000004",2,"female_life_expectancy","2008","parentcd"
"E12000007",1,"female_life_expectancy","2008","parentcd"
"E12000008",1,"female_life_expectancy","2008","parentcd"
"E12000009",1,"female_life_expectancy","2008","parentcd"
"S92000003",2,"female_life_expectancy","2008","parentcd"
"E12000004",2,"female_life_expectancy","2009","parentcd"
"E12000007",1,"female_life_expectancy","2009","parentcd"
"E12000008",1,"female_life_expectancy","2009","parentcd"
"E12000009",1,"female_life_expectancy","2009","parentcd"
"S92000003",2,"female_life_expectancy","2009","parentcd"
"E12000004",2,"female_life_expectancy","2010","parentcd"
"E12000007",1,"female_life_expectancy","2010","parentcd"
"E12000008",1,"female_life_expectancy","2010","parentcd"
"E12000009",1,"female_life_expectancy","2010","parentcd"
"S92000003",2,"female_life_expectancy","2010","parentcd"
"E12000004",2,"female_life_expectancy","2011","parentcd"
"E12000007",1,"female_life_expectancy","2011","parentcd"
"E12000008",1,"female_life_expectancy","2011","parentcd"
"E12000009",1,"female_life_expectancy","2011","parentcd"
"S92000003",2,"female_life_expectancy","2011","parentcd"
"E12000004",2,"female_life_expectancy","2012","parentcd"
"E12000007",1,"female_life_expectancy","2012","parentcd"
"E12000008",1,"female_life_expectancy","2012","parentcd"
"E12000009",1,"female_life_expectancy","2012","parentcd"
"S92000003",2,"female_life_expectancy","2012","parentcd"
"E12000004",2,"female_life_expectancy","2013","parentcd"
"E12000007",1,"female_life_expectancy","2013","parentcd"
"E12000008",1,"female_life_expectancy","2013","parentcd"
"E12000009",1,"female_life_expectancy","2013","parentcd"
"S92000003",2,"female_life_expectancy","2013","parentcd"
"E12000004",2,"female_life_expectancy","2014","parentcd"
"E12000007",1,"female_life_expectancy","2014","parentcd"
"E12000008",1,"female_life_expectancy","2014","parentcd"
"E12000009",1,"female_life_expectancy","2014","parentcd"
"S92000003",2,"female_life_expectancy","2014","parentcd"
"E12000004",2,"female_life_expectancy","2015","parentcd"
"E12000007",1,"female_life_expectancy","2015","parentcd"
"E12000008",1,"female_life_expectancy","2015","parentcd"
"E12000009",1,"female_life_expectancy","2015","parentcd"
"S92000003",2,"female_life_expectancy","2015","parentcd"
"E12000004",2,"female_life_expectancy","2016","parentcd"
"E12000007",1,"female_life_expectancy","2016","parentcd"
"E12000008",1,"female_life_expectancy","2016","parentcd"
"E12000009",1,"female_life_expectancy","2016","parentcd"
"S92000003",2,"female_life_expectancy","2016","parentcd"
"E12000004",2,"female_life_expectancy","2017","parentcd"
"E12000007",1,"female_life_expectancy","2017","parentcd"
"E12000008",1,"female_life_expectancy","2017","parentcd"
"E12000009",1,"female_life_expectancy","2017","parentcd"
"S92000003",2,"female_life_expectancy","2017","parentcd"
"E12000004",2,"female_life_expectancy","2018","parentcd"
"E12000007",1,"female_life_expectancy","2018","parentcd"
"E12000008",1,"female_life_expectancy","2018","parentcd"
"E12000009",1,"female_life_expectancy","2018","parentcd"
"S92000003",2,"female_life_expectancy","2018","parentcd"
"Y",7,"female_life_expectancy","2003","localauthority"
"Y",7,"female_life_expectancy","2004","localauthority"
"Y",7,"female_life_expectancy","2005","localauthority"
"Y",7,"female_life_expectancy","2006","localauthority"
"Y",7,"female_life_expectancy","2007","localauthority"
"Y",7,"female_life_expectancy","2008","localauthority"
"Y",7,"female_life_expectancy","2009","localauthority"
"Y",7,"female_life_expectancy","2010","localauthority"
"Y",7,"female_life_expectancy","2011","localauthority"
"Y",7,"female_life_expectancy","2012","localauthority"
"Y",7,"female_life_expectancy","2013","localauthority"
"Y",7,"female_life_expectancy","2014","localauthority"
"Y",7,"female_life_expectancy","2015","localauthority"
"Y",7,"female_life_expectancy","2016","localauthority"
"Y",7,"female_life_expectancy","2017","localauthority"
"Y",7,"female_life_expectancy","2018","localauthority"
"E92000001",5,"female_life_expectancy","2003","countrycd"
"S92000003",2,"female_life_expectancy","2003","countrycd"
"E92000001",5,"female_life_expectancy","2004","countrycd"
"S92000003",2,"female_life_expectancy","2004","countrycd"
"E92000001",5,"female_life_expectancy","2005","countrycd"
"S92000003",2,"female_life_expectancy","2005","countrycd"
"E92000001",5,"female_life_expectancy","2006","countrycd"
"S92000003",2,"female_life_expectancy","2006","countrycd"
"E92000001",5,"female_life_expectancy","2007","countrycd"
"S92000003",2,"female_life_expectancy","2007","countrycd"
"E92000001",5,"female_life_expectancy","2008","countrycd"
"S92000003",2,"female_life_expectancy","2008","countrycd"
"E92000001",5,"female_life_expectancy","2009","countrycd"
"S92000003",2,"female_life_expectancy","2009","countrycd"
"E92000001",5,"female_life_expectancy","2010","countrycd"
"S92000003",2,"female_life_expectancy","2010","countrycd"
"E92000001",5,"female_life_expectancy","2011","countrycd"
"S92000003",2,"female_life_expectancy","2011","countrycd"
"E92000001",5,"female_life_expectancy","2012","countrycd"
"S92000003",2,"female_life_expectancy","2012","countrycd"
"E92000001",5,"female_life_expectancy","2013","countrycd"
"S92000003",2,"female_life_expectancy","2013","countrycd"
"E92000001",5,"female_life_expectancy","2014","countrycd"
"S92000003",2,"female_life_expectancy","2014","countrycd"
"E92000001",5,"female_life_expectancy","2015","countrycd"
"S92000003",2,"female_life_expectancy","2015","countrycd"
"E92000001",5,"female_life_expectancy","2016","countrycd"
"S92000003",2,"female_life_expectancy","2016","countrycd"
"E92000001",5,"female_life_expectancy","2017","countrycd"
"S92000003",2,"female_life_expectancy","2017","countrycd"
"E92000001",5,"female_life_expectancy","2018","countrycd"
"S92000003",2,"female_life_expectancy","2018","countrycd"
"E12000002",2,"gdhi","1997","parentcd"
"E12000003",1,"gdhi","1997","parentcd"
"E12000004",4,"gdhi","1997","parentcd"
"E12000005",3,"gdhi","1997","parentcd"
"E12000006",5,"gdhi","1997","parentcd"
"E12000008",6,"gdhi","1997","parentcd"
"E12000009",3,"gdhi","1997","parentcd"
"E12000002",2,"gdhi","1998","parentcd"
"E12000003",1,"gdhi","1998","parentcd"
"E12000004",4,"gdhi","1998","parentcd"
"E12000005",3,"gdhi","1998","parentcd"
"E12000006",5,"gdhi","1998","parentcd"
"E12000008",6,"gdhi","1998","parentcd"
"E12000009",3,"gdhi","1998","parentcd"
"E12000002",2,"gdhi","1999","parentcd"
"E12000003",1,"gdhi","1999","parentcd"
"E12000004",4,"gdhi","1999","parentcd"
"E12000005",3,"gdhi","1999","parentcd"
"E12000006",5,"gdhi","1999","parentcd"
"E12000008",6,"gdhi","1999","parentcd"
"E12000009",3,"gdhi","1999","parentcd"
"E12000002",2,"gdhi","2000","parentcd"
"E12000003",1,"gdhi","2000","parentcd"
"E12000004",4,"gdhi","2000","parentcd"
"E12000005",3,"gdhi","2000","parentcd"
"E12000006",5,"gdhi","2000","parentcd"
"E12000008",6,"gdhi","2000","parentcd"
"E12000009",3,"gdhi","2000","parentcd"
"E12000002",2,"gdhi","2001","parentcd"
"E12000003",1,"gdhi","2001","parentcd"
"E12000004",4,"gdhi","2001","parentcd"
"E12000005",3,"gdhi","2001","parentcd"
"E12000006",5,"gdhi","2001","parentcd"
"E12000008",6,"gdhi","2001","parentcd"
"E12000009",3,"gdhi","2001","parentcd"
"E12000002",2,"gdhi","2002","parentcd"
"E12000003",1,"gdhi","2002","parentcd"
"E12000004",4,"gdhi","2002","parentcd"
"E12000005",3,"gdhi","2002","parentcd"
"E12000006",5,"gdhi","2002","parentcd"
"E12000008",6,"gdhi","2002","parentcd"
"E12000009",3,"gdhi","2002","parentcd"
"E12000002",2,"gdhi","2003","parentcd"
"E12000003",1,"gdhi","2003","parentcd"
"E12000004",4,"gdhi","2003","parentcd"
"E12000005",3,"gdhi","2003","parentcd"
"E12000006",5,"gdhi","2003","parentcd"
"E12000008",6,"gdhi","2003","parentcd"
"E12000009",3,"gdhi","2003","parentcd"
"E12000002",2,"gdhi","2004","parentcd"
"E12000003",1,"gdhi","2004","parentcd"
"E12000004",4,"gdhi","2004","parentcd"
"E12000005",3,"gdhi","2004","parentcd"
"E12000006",5,"gdhi","2004","parentcd"
"E12000008",6,"gdhi","2004","parentcd"
"E12000009",3,"gdhi","2004","parentcd"
"E12000002",2,"gdhi","2005","parentcd"
"E12000003",1,"gdhi","2005","parentcd"
"E12000004",4,"gdhi","2005","parentcd"
"E12000005",3,"gdhi","2005","parentcd"
"E12000006",5,"gdhi","2005","parentcd"
"E12000008",6,"gdhi","2005","parentcd"
"E12000009",3,"gdhi","2005","parentcd"
"E12000002",2,"gdhi","2006","parentcd"
"E12000003",1,"gdhi","2006","parentcd"
"E12000004",4,"gdhi","2006","parentcd"
"E12000005",3,"gdhi","2006","parentcd"
"E12000006",5,"gdhi","2006","parentcd"
"E12000008",6,"gdhi","2006","parentcd"
"E12000009",3,"gdhi","2006","parentcd"
"E12000002",2,"gdhi","2007","parentcd"
"E12000003",1,"gdhi","2007","parentcd"
"E12000004",4,"gdhi","2007","parentcd"
"E12000005",3,"gdhi","2007","parentcd"
"E12000006",5,"gdhi","2007","parentcd"
"E12000008",6,"gdhi","2007","parentcd"
"E12000009",3,"gdhi","2007","parentcd"
"E12000002",2,"gdhi","2008","parentcd"
"E12000003",1,"gdhi","2008","parentcd"
"E12000004",4,"gdhi","2008","parentcd"
"E12000005",3,"gdhi","2008","parentcd"
"E12000006",5,"gdhi","2008","parentcd"
"E12000008",6,"gdhi","2008","parentcd"
"E12000009",3,"gdhi","2008","parentcd"
"E12000002",2,"gdhi","2009","parentcd"
"E12000003",1,"gdhi","2009","parentcd"
"E12000004",4,"gdhi","2009","parentcd"
"E12000005",3,"gdhi","2009","parentcd"
"E12000006",5,"gdhi","2009","parentcd"
"E12000008",6,"gdhi","2009","parentcd"
"E12000009",3,"gdhi","2009","parentcd"
"E12000002",2,"gdhi","2010","parentcd"
"E12000003",1,"gdhi","2010","parentcd"
"E12000004",4,"gdhi","2010","parentcd"
"E12000005",3,"gdhi","2010","parentcd"
"E12000006",5,"gdhi","2010","parentcd"
"E12000008",6,"gdhi","2010","parentcd"
"E12000009",3,"gdhi","2010","parentcd"
"E12000002",2,"gdhi","2011","parentcd"
"E12000003",1,"gdhi","2011","parentcd"
"E12000004",4,"gdhi","2011","parentcd"
"E12000005",3,"gdhi","2011","parentcd"
"E12000006",5,"gdhi","2011","parentcd"
